# synset_id	pos	english_lemmas	korean_lemmas
00379422-n	Noun	affixation, attachment	부착, 첨부, 흡착
00380083-n	Noun	commixture, mixture, admixture, mixing, intermixture, mix	조합
00380159-v	Verb	shift, switch, change_over	교환하, 교체하, 바꾸
00380568-n	Noun	fusion	접합
00380696-n	Noun	blend, blending	조합, 혼합, 배합, 섞
00380881-n	Noun	conflux, merging, confluence	조합
00381680-n	Noun	uniting, union, jointure, conjugation, unification	조합, 접합, 통일
00382109-n	Noun	coalescence, coalescency, concretion, conglutination, coalition	통일
00383606-n	Noun	separation	분구, 가름, 분리, 유리
00384802-n	Noun	dissociation	분리, 해리
00384933-n	Noun	secession, withdrawal	분리, 탈당, 탈퇴, 이탈
00385266-n	Noun	breaking_away, breakaway	이탈
00385501-n	Noun	disunion	분리
00385649-n	Noun	disconnection, disjunction	분리
00385791-n	Noun	division	분구, 분류, 분할
00386345-n	Noun	cleavage	분할
00386450-n	Noun	bisection	양분, 이분
00386676-n	Noun	split, schism	분리, 분류, 분할
00386915-n	Noun	cutting, cut	가름
00387214-n	Noun	dissection	해리
00387310-v	Verb	retrovert, regress, revert, return, turn_back	원대복귀하, 되돌아가
00387326-n	Noun	scission	분리, 분할
00388210-n	Noun	atomization, fragmentation, atomisation	분단, 분할, 세분
00388392-n	Noun	ramification, fork, forking, branching	지분, 분파, 분기
00388710-n	Noun	bifurcation	분기
00388959-n	Noun	divarication	분리
00389135-n	Noun	dichotomisation, dichotomization	분기
00389508-n	Noun	fractionation	분류, 분할
00390906-n	Noun	disengagement, detachment	분리, 해리, 유리
00391086-n	Noun	tear	균열, 찢
00391407-n	Noun	rip, split, rent	분리, 분류, 균열, 분할
00391599-n	Noun	remotion, removal	분리, 철거, 절제, 제거, 배제
00392709-n	Noun	abscission, cutting_off	절제
00392848-n	Noun	abstraction	추상
00392950-n	Noun	extraction	제거
00394610-n	Noun	deletion	소거, 제거, 삭제
00395199-n	Noun	dislodgment, dislodgement	제거
00395333-n	Noun	riddance, elimination	삭제, 제거, 소거, 배제, 도태, 해독
00395503-n	Noun	elimination	삭제, 제거, 소거, 배제, 도태, 해독
00395797-n	Noun	emptying, evacuation, voidance	철거, 철수
